Player,Tm,Salary,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Luka Šamanić,UTA,2066585.00,PF,23,7,4,161,26,57,0.456,8,31,0.258,18,26,0.692,0.526,9,13,0.692,0,30,30,15,6,2,10,17,69
Taj Gibson,WAS,2019706.00,C,37,49,2,480,65,125,0.52,8,24,0.333,57,101,0.564,0.552,30,42,0.714,32,61,93,34,15,12,26,84,168
Sandro Mamukelashvili,SAS,2019706.00,C,23,19,7,443,78,172,0.453,23,67,0.343,55,105,0.524,0.52,27,39,0.692,52,77,129,46,10,7,26,33,206
Alex Len,SAC,2019706.00,C,29,26,2,161,16,30,0.533,0,2,0,16,28,0.571,0.533,11,16,0.688,24,36,60,12,4,11,16,28,43
Montrezl Harrell,PHI,2019706.00,C,29,57,7,681,125,209,0.598,0,6,0,125,203,0.616,0.598,70,101,0.693,67,92,159,33,17,25,35,75,320
Ryan Arcidiacono,NYK,2019706.00,PG,28,11,0,26,1,5,0.2,1,3,0.333,0,2,0,0.3,0,0,,0,4,4,2,2,0,1,3,3
Thanasis Antetokounmpo,MIL,2019706.00,PF,30,37,0,206,20,46,0.435,0,8,0,20,38,0.526,0.435,11,22,0.5,15,29,44,15,3,3,12,22,51
Jae Crowder,MIL,2019706.00,PF,32,18,3,340,45,94,0.479,24,55,0.436,21,39,0.538,0.606,10,12,0.833,17,52,69,27,12,6,7,27,124
DeAndre Jordan,DEN,2019706.00,C,34,39,8,586,88,115,0.765,1,1,1,87,114,0.763,0.77,22,48,0.458,52,150,202,34,12,23,48,71,199
Markieff Morris,DAL,2019706.00,PF,33,8,1,70,14,33,0.424,8,22,0.364,6,11,0.545,0.545,0,0,,0,12,12,6,1,0,4,15,36
Boban Marjanović,HOU,2019706.00,C,34,31,0,171,41,60,0.683,0,1,0,41,59,0.695,0.683,20,27,0.741,20,40,60,9,5,2,14,10,102
Terry Taylor,CHI,2019706.00,PF,23,5,0,36,9,10,0.9,1,1,1,8,9,0.889,0.95,1,4,0.25,5,3,8,0,0,1,0,2,20
Caleb Houstan,ORL,2000000.00,SF,20,51,4,812,66,182,0.363,46,136,0.338,20,46,0.435,0.489,15,18,0.833,34,65,99,30,12,7,18,63,193
Jaylin Williams,OKC,2000000.00,C,20,49,36,914,102,234,0.436,46,113,0.407,56,121,0.463,0.534,38,54,0.704,44,197,241,76,28,12,37,111,288
Garrison Mathews,ATL,2000000.00,SG,26,9,0,84,13,31,0.419,10,25,0.4,3,6,0.5,0.581,7,8,0.875,1,10,11,3,1,1,1,6,43
Anthony Gill,WAS,1997238.00,PF,30,59,8,624,71,132,0.538,4,29,0.138,67,103,0.65,0.553,49,67,0.731,37,62,99,34,7,12,15,70,195
Isaiah Joe,OKC,1997238.00,SG,23,73,10,1395,224,508,0.441,161,394,0.409,63,114,0.553,0.599,82,100,0.82,27,148,175,88,48,8,39,105,691
Sam Merrill,CLE,1997238.00,SG,26,5,0,59,9,22,0.409,5,18,0.278,4,4,1,0.523,2,2,1,0,9,9,5,4,0,0,3,25
Naji Marshall,NOP,1930681.00,SF,25,77,21,1792,247,571,0.433,66,218,0.303,181,353,0.513,0.49,138,175,0.789,48,231,279,189,54,14,97,113,698
Xavier Tillman Sr.,MEM,1930681.00,C,24,61,29,1180,188,306,0.614,4,15,0.267,184,291,0.632,0.621,49,89,0.551,121,186,307,96,58,29,44,97,429
Sam Hauser,BOS,1927896.00,SF,25,80,8,1290,180,396,0.455,140,335,0.418,40,61,0.656,0.631,12,17,0.706,35,169,204,71,29,21,30,99,512
Kessler Edwards,SAC,1927896.00,SF,22,22,3,306,30,69,0.435,15,43,0.349,15,26,0.577,0.543,10,13,0.769,17,30,47,21,11,5,9,37,85
Jericho Sims,NYK,1927896.00,C,24,52,16,812,83,107,0.776,0,1,0,83,106,0.783,0.776,12,16,0.75,99,143,242,25,15,28,27,96,178
Haywood Highsmith,MIA,1902137.00,PF,26,54,11,969,93,216,0.431,37,109,0.339,56,107,0.523,0.516,13,28,0.464,57,131,188,43,36,17,45,82,236
A.J. Green,MIL,1901769.00,SG,23,35,1,345,53,125,0.424,44,105,0.419,9,20,0.45,0.6,4,4,1,6,39,45,22,6,0,9,31,154
Miles McBride,NYK,1836096.00,PG,22,64,2,760,77,215,0.358,40,134,0.299,37,81,0.457,0.451,28,42,0.667,13,37,50,72,37,8,25,60,222
Brandon Boston Jr.,LAC,1836096.00,SF,21,22,1,248,51,122,0.418,12,29,0.414,39,93,0.419,0.467,29,38,0.763,7,23,30,20,9,0,12,21,143
Isaiah Livers,DET,1836096.00,PF,24,52,22,1199,120,288,0.417,74,203,0.365,46,85,0.541,0.545,32,39,0.821,28,115,143,41,28,28,30,103,346
Aaron Wiggins,OKC,1836096.00,SG,24,70,14,1297,186,363,0.512,48,122,0.393,138,241,0.573,0.579,59,71,0.831,68,142,210,80,39,15,55,110,479
Jose Alvarado,NOP,1836096.00,PG,24,61,10,1310,201,489,0.411,83,247,0.336,118,242,0.488,0.496,65,80,0.813,28,113,141,186,67,10,81,125,550
JT Thor,CHO,1836096.00,PF,20,69,8,969,95,238,0.399,39,123,0.317,56,115,0.487,0.481,33,47,0.702,36,116,152,36,22,23,44,66,262
Justin Minaya,POR,1801769.00,SF,23,4,0,89,7,23,0.304,3,12,0.25,4,11,0.364,0.37,0,1,0,3,12,15,4,2,5,4,9,17
Orlando Robinson,MIA,1801769.00,C,22,31,1,425,47,89,0.528,0,6,0,47,83,0.566,0.528,22,31,0.71,48,78,126,25,12,12,16,53,116
Stanley Umude,DET,1801769.00,SG,23,1,0,2,0,1,0,0,1,0,0,0,,0,2,2,1,0,0,0,0,1,1,0,0,2
