Player,Tm,Salary,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kennedy Chandler,MEM,1719864.00,PG,20,36,0,281,35,83,0.422,2,15,0.133,33,68,0.485,0.434,6,13,0.462,9,29,38,58,12,5,18,15,78
Jaden Hardy,DAL,1719864.00,SG,20,48,5,708,146,333,0.438,63,156,0.404,83,177,0.469,0.533,65,79,0.823,11,78,89,65,17,7,46,64,420
Xavier Cooks,WAS,1719864.00,PF,27,10,1,126,17,28,0.607,0,1,0,17,27,0.63,0.607,4,10,0.4,16,22,38,6,6,4,8,13,38
Christian Koloko,TOR,1719864.00,C,22,58,19,802,72,150,0.48,1,12,0.083,71,138,0.514,0.483,37,59,0.627,84,87,171,31,21,57,20,128,182
Josh Minott,MIN,1719864.00,SF,20,15,0,96,18,36,0.5,2,6,0.333,16,30,0.533,0.528,8,8,1,5,20,25,5,4,6,3,10,46
Kenneth Lofton Jr.,MEM,1719864.00,PF,20,24,1,176,49,93,0.527,6,17,0.353,43,76,0.566,0.559,16,27,0.593,19,32,51,20,5,2,12,28,120
Max Christie,LAL,1719864.00,SG,19,41,3,512,44,106,0.415,26,62,0.419,18,44,0.409,0.538,14,16,0.875,7,68,75,21,9,7,13,33,128
Bryce McGowens,CHO,1719864.00,SG,20,46,7,787,80,202,0.396,26,80,0.325,54,122,0.443,0.46,60,80,0.75,20,73,93,54,15,6,43,48,246
Jabari Walker,POR,1719864.00,SF,20,56,0,619,83,198,0.419,16,56,0.286,67,142,0.472,0.46,34,45,0.756,48,83,131,34,10,13,29,69,216
Neemias Queta,SAC,250000.00,C,23,5,0,29,6,9,0.667,0,0,,6,9,0.667,0.667,0,2,0,5,6,11,1,0,2,1,7,12
